Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-060662,2015-11,01/01/2005 13:46,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3607,N TAYLOR AVE,56, , ,3607,TAYLOR,894360.3,1033026
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-057223,2015-11,01/01/2012 00:01,Y, , ,1, , 43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,8433,LOWELL ST,36, , ,1915,OLIVE,897698.9,1049939
15-033580,2015-11,01/01/2013 00:01,Y, , ,1, , 23000,1,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,100, ,2,LINDEN GARDEN APARTMENTS, ,100,CATALAN,0,0
15-050926,2015-11,01/01/2013 12:00,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,625,N EUCLID AVE,38, ,ETHICAL SOCIETY OF POLICE,625,EUCLID,888580.9,1025734
15-057660,2015-11,01/01/2015 00:01,Y, , ,1, ,171200,6,SEX OFFNS-STATUATORY RAPE/FIRST,4100,DRYDEN AVE,69, , ,4100,DRYDEN,0,0
15-058482,2015-11,01/01/2015 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,7100,MANCHESTER AVE,10, ,MULTI-UNIT APARTMENT BUILDING,7100,MANCHESTER,0,0
15-056504,2015-11,01/01/2015 07:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,2924,ARLINGTON AVE,50, , ,2924,ARLINGTON,887627.9,1035131
15-057634,2015-11,01/01/2015 12:00,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",5405,PLOVER AVE,72, , ,5405,PLOVER,891772.5,1043680
15-060184,2015-11,01/21/2005 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1600,N 19TH ST,60, , ,1600,19TH,0,0
